ˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉ
 NANO Node Vote Tallies → Grouped by [Root Hash] → Sorted by [Timestamp]
ˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍ
  498x ROOT: 4070C203A31F0C8DC895EEEAEB358D3806CD342B876E55B51AD75D2EE03FF25A
 MAIN BLOCK: 4FE0807D6666E4389381A91A34BAC3A06A906E67950722A6AB3476799A5271EA 
 FORK BLOCK: 070BFF6310BA814F2E94C22C5592F61A7D7D119CEDDB5DD751F60CFDE5D097DD
    MAIN BLOCK  |     FORK BLOCK  |                      TIMESTAMP
         76,08% |           0,13% |   [2018-06-18 04:13:23.979130]
         76,08% |           0,13% |   [2018-06-18 04:13:23.996191]
         76,08% |           0,13% |   [2018-06-18 04:13:24.093184]
         76,08% |           0,13% |   [2018-06-18 04:13:25.349971]
         76,21% |           0,13% |   [2018-06-18 04:13:26.816181]
         76,21% |           0,13% |   [2018-06-18 04:13:26.911317]
         76,21% |           0,13% |   [2018-06-18 04:13:27.096424]
         76,21% |           0,13% |   [2018-06-18 04:13:27.235788]
         76,21% |           0,13% |   [2018-06-18 04:13:27.898952]
         44,33% |           0,13% |   [2018-06-18 04:29:20.395173]
         48,44% |           0,13% |   [2018-06-18 04:29:20.395173]
         56,87% |           0,13% |   [2018-06-18 04:29:20.693009]
         60,39% |           0,13% |   [2018-06-18 04:29:20.693009]
         60,82% |           0,13% |   [2018-06-18 04:29:20.695009]
         70,62% |           0,13% |   [2018-06-18 04:29:20.697009]
         71,16% |           0,13% |   [2018-06-18 04:29:20.699009]
         71,49% |           0,13% |   [2018-06-18 04:29:20.735195]
         71,49% |           0,13% |   [2018-06-18 04:29:21.394677]
         71,49% |           0,13% |   [2018-06-18 04:29:21.598755]
         71,49% |           0,13% |   [2018-06-18 04:29:22.223952]
         71,49% |           0,13% |   [2018-06-18 04:29:23.004153]
         71,49% |           0,13% |   [2018-06-18 04:29:25.718774]
         71,49% |           0,13% |   [2018-06-18 04:29:27.691875]
         71,49% |           0,13% |   [2018-06-18 04:29:27.736907]
         71,49% |           0,13% |   [2018-06-18 04:29:27.748904]
         71,49% |           0,13% |   [2018-06-18 04:29:28.029203]
         71,49% |           0,13% |   [2018-06-18 04:29:28.094200]
         71,49% |           0,13% |   [2018-06-18 04:29:28.268446]
         71,49% |           0,13% |   [2018-06-18 04:29:30.673801]
         71,49% |           0,13% |   [2018-06-18 04:29:31.075477]
         72,32% |           0,13% |   [2018-06-18 04:29:58.289548]
         74,16% |           0,13% |   [2018-06-18 04:29:58.299444]
         74,16% |           0,13% |   [2018-06-18 04:29:58.708171]
         74,16% |           0,13% |   [2018-06-18 04:29:58.732167]
         74,16% |           0,13% |   [2018-06-18 04:29:59.219238]
         75,79% |           0,13% |   [2018-06-18 04:29:59.251238]
         75,79% |           0,13% |   [2018-06-18 04:29:59.365803]
         75,79% |           0,13% |   [2018-06-18 04:30:00.029833]
         75,79% |           0,13% |   [2018-06-18 04:30:06.924503]
         75,79% |           0,13% |   [2018-06-18 04:30:07.072677]
         75,79% |           0,13% |   [2018-06-18 04:30:07.684872]
         75,79% |           0,13% |   [2018-06-18 04:30:15.472336]
